22107528,19569296
19722243,19064835
19146441,18949788
19967210,19283530
19732600,19475112
19790011,19542895
19666419,19449376
18728553,18519055
20236037,19982780
40623227,40190592
19665962,19423501
20432942,20166063
21907939,21592613
19361474,19109860
19890964,19168934
19791745,19511030
19850316,19621953
23062290,19262413
19202417,18978652
20302468,20037411
18937737,17972471
20335379,20063123
19457470,19200982
20679397,20392548
21418366,21133304
19510229,19289826
18931507,18705794
19395311,19172794
19232183,18952174
19980713,19705919
21522731,21257283
25838567,25496017
19869039,19607644
20441779,20157433
26056864,25704448
34809161,34447930
19383205,19120417
19557376,19330336
20656870,20370031
20585740,20296644
19736176,19458145
18882887,18668351
19090585,18864501
19151050,18934218
19482006,19259851
19450392,19235880
19156254,18939145
19253965,19050665
20322254,20043575
20434925,20141557
19181936,18974884
19433501,19223636
17905457,17712049
18940964,18710264
19383828,19122081
20120863,19881218
20524815,20273069
19328632,18422052
18693878,18444961
19234572,18974115
21514564,21261599
48858143,48434697
19380974,19162754
19482377,18870503
19663912,19389425
20296670,20002427
19078802,18872840
19689266,19415128
18756233,18551087
19075532,18862286
19227672,18989509
19809033,19518706
19638478,19381798
18409890,18207808
20213661,19962845
34984766,34610878
18824980,18619446
21389746,21072057
19392729,19138948
19722078,19482713
21079518,20798612
19784898,19552895
21762592,21503134
18922952,18683767
22386170,22165276
23027899,22734128
22112712,21859905
18477276,18255617
19277033,19045991
18526910,18292421
20391031,20138309
19022766,18787059
18641792,18432558
19156068,18910067
20723656,20459743
19047607,18812116
19199588,18962588
20879281,20628472
22700014,22420390
19146835,18912837
19169596,18946809
18489862,18248498
43857614,40069171
18479267,17765094
19590700,19339381
19568037,19295986
20618625,20343293
19487116,19223605
20571581,20292344
19332054,19111421
19444291,18441873
20587553,20302001
19157282,18936641
18745983,18537546
20744151,20452041
20012837,19769684
21891278,21193865
19030289,18842525
20334622,20070464
19221995,19003843
19371394,19159535
18906682,18698577
21212703,20949238
20098446,19818517
19257609,19059351
19217382,19003060
22513254,21842076
30062382,29714824
20923891,20578548
19167617,18910941
19392964,19186676
20943756,20685661
21121358,20882669
18982703,18779314
18981944,18761812
21680896,21367401
21116945,20902385
21705452,21471405
20151213,19916881
19525352,19289238
19121674,18918303
19425460,19178131
18627236,18427322
19153907,18941285
18981797,18771616
19139059,18924829
20992058,20702540
18837184,18643500
19070142,18849893
19596423,19354868
21140103,20886310
19363472,19085710
19264814,19056465
22621248,22348755
19991666,19743235
20719941,20457704
25570040,25241273
21096918,20402708
31714757,26531840
20213244,19921819
21620035,21343726
19147249,18898261
19964970,19711300
18986632,18749834
19190893,18945639
19911514,19631336
19058190,18837819
18997389,18769153
20410608,20147583
19615229,19339668
19312059,19064954
19411658,19195179
18973154,18742794
20376217,20102910
20238187,19982715
20362007,20092758
21241292,20978658
20030735,19778035
18530693,18309127
19518730,19286543
19576876,19382846
29982167,25430569
